symbol,day,open_ts,open_price,close_ts,close_price,news_count,avg_sent
AMZN,2025-04-07,2025-04-07T13:30:00Z,162.0,2025-04-07T20:00:00Z,175.86,96,0.59375
AMZN,2025-04-08,2025-04-08T13:30:00Z,185.23,2025-04-08T20:00:00Z,171.6,96,0.5625
AMZN,2025-04-09,2025-04-09T13:30:00Z,172.115,2025-04-09T20:00:00Z,191.93,94,0.3829787234042553
AMZN,2025-04-10,2025-04-10T13:30:00Z,185.44,2025-04-10T20:00:00Z,180.95,99,0.5959595959595959
AMZN,2025-04-11,2025-04-11T13:30:00Z,179.93,2025-04-11T20:00:00Z,185.0,96,0.5416666666666666
AMZN,2025-04-14,2025-04-14T13:30:00Z,186.84,2025-04-14T20:00:00Z,182.12,98,0.5306122448979592
AMZN,2025-04-15,2025-04-15T13:30:00Z,181.41,2025-04-15T20:00:00Z,179.59,100,0.44
AMZN,2025-04-16,2025-04-16T13:30:00Z,176.29,2025-04-16T20:00:00Z,174.29,91,0.46153846153846156
AMZN,2025-04-17,2025-04-17T13:30:00Z,176.0,2025-04-17T20:00:00Z,172.84,94,0.3723404255319149
AMZN,2025-04-21,2025-04-21T13:30:00Z,169.6,2025-04-21T20:00:00Z,167.5493,99,0.43434343434343436
AMZN,2025-04-22,2025-04-22T13:30:00Z,169.845,2025-04-22T20:00:00Z,173.2,98,0.5
AMZN,2025-04-23,2025-04-23T13:30:00Z,183.45,2025-04-23T20:00:00Z,180.04,97,0.4948453608247423
AMZN,2025-04-24,2025-04-24T13:30:00Z,180.915,2025-04-24T20:00:00Z,186.59,99,0.45454545454545453
AMZN,2025-04-25,2025-04-25T13:30:00Z,187.62,2025-04-25T20:00:00Z,189.1,96,0.40625
AMZN,2025-04-28,2025-04-28T13:30:00Z,190.105,2025-04-28T20:00:00Z,187.5,96,0.4791666666666667
AMZN,2025-04-29,2025-04-29T13:30:00Z,183.99,2025-04-29T20:00:00Z,187.535,98,0.5510204081632653
AMZN,2025-04-30,2025-04-30T13:30:00Z,182.17,2025-04-30T20:00:00Z,185.6,98,0.4489795918367347
AMZN,2025-05-01,2025-05-01T13:30:00Z,190.63,2025-05-01T20:00:00Z,191.0,97,0.4948453608247423
AMZN,2025-05-02,2025-05-02T13:30:00Z,191.435,2025-05-02T20:00:00Z,190.0,98,0.5918367346938775
AMZN,2025-05-05,2025-05-05T13:30:00Z,186.51,2025-05-05T20:00:00Z,186.27,98,0.5102040816326531
AMZN,2025-05-06,2025-05-06T13:30:00Z,184.57,2025-05-06T20:00:00Z,185.01,98,0.5204081632653061
AMZN,2025-05-07,2025-05-07T13:30:00Z,185.56,2025-05-07T20:00:00Z,188.89,99,0.7373737373737373
AMZN,2025-05-08,2025-05-08T13:30:00Z,191.43,2025-05-08T20:00:00Z,192.1725,98,0.7653061224489796
AMZN,2025-05-09,2025-05-09T13:30:00Z,193.375,2025-05-09T20:00:00Z,193.07,100,0.81
AMZN,2025-05-12,2025-05-12T13:30:00Z,210.71,2025-05-12T20:00:00Z,209.08,30,0.5333333333333333
AMZN,2025-05-13,2025-05-13T13:30:00Z,211.08,2025-05-13T20:00:00Z,211.36,17,0.9411764705882353
AMZN,2025-05-14,2025-05-14T13:30:00Z,211.45,2025-05-14T20:00:00Z,209.85,39,0.6666666666666666
AMZN,2025-05-15,2025-05-15T13:30:00Z,206.45,2025-05-15T20:00:00Z,205.17,16,0.875
AMZN,2025-05-19,2025-05-19T13:30:00Z,201.645,2025-05-19T20:00:00Z,206.16,46,0.5
AMZN,2025-05-20,2025-05-20T13:30:00Z,204.628,2025-05-20T20:00:00Z,204.047,22,0.5
AMZN,2025-05-21,2025-05-21T13:30:00Z,201.61,2025-05-21T20:00:00Z,201.2,36,0.5833333333333334
AMZN,2025-05-23,2025-05-23T13:30:00Z,198.9,2025-05-23T20:00:00Z,200.99,41,0.3170731707317073
AMZN,2025-05-27,2025-05-27T13:30:00Z,203.085,2025-05-27T20:00:00Z,205.7,32,0.46875
AMZN,2025-05-28,2025-05-28T13:30:00Z,205.915,2025-05-28T20:00:00Z,204.61,100,0.26
AMZN,2025-05-29,2025-05-29T13:30:00Z,208.025,2025-05-29T20:00:00Z,205.43,35,0.6
AMZN,2025-05-30,2025-05-30T13:30:00Z,204.84,2025-05-30T20:00:00Z,205.23,34,0.7352941176470589
AMZN,2025-06-02,2025-06-02T13:30:00Z,204.98,2025-06-02T20:00:00Z,206.7,38,0.631578947368421
AMZN,2025-06-03,2025-06-03T13:30:00Z,207.105,2025-06-03T20:00:00Z,205.7,41,0.5609756097560976
AMZN,2025-06-04,2025-06-04T13:30:00Z,206.55,2025-06-04T20:00:00Z,207.2186,46,0.717391304347826
AMZN,2025-06-05,2025-06-05T13:30:00Z,209.55,2025-06-05T20:00:00Z,207.725,32,0.90625
AMZN,2025-06-06,2025-06-06T13:30:00Z,212.4,2025-06-06T20:00:00Z,213.25,46,0.782608695652174
AMZN,2025-06-09,2025-06-09T13:30:00Z,214.75,2025-06-09T20:00:00Z,217.04,34,0.5882352941176471
AMZN,2025-06-10,2025-06-10T13:30:00Z,216.78,2025-06-10T20:00:00Z,217.5299,37,0.43243243243243246
AMZN,2025-06-11,2025-06-11T13:30:00Z,217.41,2025-06-11T20:00:00Z,213.3,31,0.5483870967741935
AMZN,2025-06-12,2025-06-12T13:30:00Z,211.78,2025-06-12T20:00:00Z,213.01,24,0.6666666666666666
AMZN,2025-06-16,2025-06-16T13:30:00Z,212.31,2025-06-16T20:00:00Z,216.6,42,0.0
AMZN,2025-06-17,2025-06-17T13:30:00Z,215.195,2025-06-17T20:00:00Z,214.9,26,0.5
AMZN,2025-06-18,2025-06-18T13:30:00Z,215.09,2025-06-18T20:00:00Z,212.74,27,0.6666666666666666
AMZN,2025-06-20,2025-06-20T13:30:00Z,214.68,2025-06-20T20:00:00Z,209.69,33,0.7272727272727273
AMZN,2025-06-23,2025-06-23T13:30:00Z,209.79,2025-06-23T20:00:00Z,208.4,22,0.42857142857142855
AMZN,2025-06-24,2025-06-24T13:30:00Z,212.135,2025-06-24T20:00:00Z,212.99,27,0.5769230769230769
